Date,US $ TO AUSTRALIAN $ 1M FWD (RFV) - EXCHANGE RATE,TWD TO USD 1MONTH FORWARD - EXCHANGE RATE,SWEDISH KRONA TO US $ 1M FWD (RFV) - EXCHANGE RATE,NORWAY KRONE TO US $ 1M FWD (RFV) - EXCHANGE RATE,KOREAN TO USD 1MONTH FORWARD - EXCHANGE RATE,JAPANESE YEN TO US $ 1M FWD (RFV) - EXCHANGE RATE,US $ TO US GBP 1M FWD (RFV) - EXCHANGE RATE,US $ TO EURO 1M FWD (RFV) - EXCHANGE RATE,DANISH KRONE TO US $ 1M FWD (RFV) - EXCHANGE RATE,SWISS FRANC TO US $ 1M FWD (RFV) - EXCHANGE RATE,CANADIAN $ TO US $ 1M FWD (RFV) - EXCHANGE RATE,USD TO AUD 1M FWD OR (WMR) - EXCHANGE RATE,AUSTRIAN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,TWD TO USD 1M FWD OR (WMR) - EXCHANGE RATE,BELGIUM TO USD 1M FWD OR (WMR) - EXCHANGE RATE,CANADA TO USD 1M FWD OR (WMR) - EXCHANGE RATE,DEMARK TO USD 1M FWD OR (WMR) - EXCHANGE RATE,USD TO EUR 1M FWD OR (WMR) - EXCHANGE RATE,FINLAND TO USD 1M FWD OR (WMR) - EXCHANGE RATE,FRANCE TO USD 1M FWD OR (WMR) - EXCHANGE RATE,GERMANY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,ITALY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,JPY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,NORWAY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,KOREA TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SPAIN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SWEDEN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SWIZTHERLAND CHF TO USD 1M FWD OR (WMR) - EXCHANGE RATE,UK ? TO US $ 1M FWD (RFV) - EXCHANGE RATE
1990/5/25,0.76403,NA,6.11625,6.48845,NA,149.21,1.6812,1.21905,6.4175,1.42425,1.18862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/5/28,0.76265,NA,6.10605,6.47775,NA,148.8575,1.6855,1.2223,6.4045,1.4227,1.18817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/5/29,0.76115,NA,6.08275,6.46325,NA,151.2725,1.686,1.2252,6.37875,1.4115,1.18582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/5/30,0.7682,NA,6.09635,6.48025,NA,151.305,1.6836,1.2182,6.40625,1.42315,1.17942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/5/31,0.76372,NA,6.16105,6.52075,NA,152.0565,1.6685,1.20988,6.459,1.4296,1.17687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/1,0.76407,NA,6.11915,6.50825,NA,151.8515,1.67165,1.20765,6.4595,1.4382,1.18067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/4,0.7638,NA,6.15185,6.55125,NA,152.32,1.67117,1.21485,6.477,1.4322,1.18032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/5,0.7669,NA,6.13535,6.53175,NA,152.3425,1.67725,1.21685,6.462,1.4289,1.18187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/6,0.76785,NA,6.12035,6.50625,NA,152.545,1.67815,1.2151,6.44325,1.43645,1.17542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/7,0.77315,NA,6.13545,6.51875,NA,152.425,1.67937,1.21175,6.46275,1.4459,1.17607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/8,0.7673,NA,6.15435,6.53375,NA,153.35,1.67545,1.20935,6.47525,1.4505,1.1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/11,0.77135,NA,6.15335,6.53375,NA,154.615,1.6765,1.21183,6.47975,1.44145,1.17597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/12,0.7696,NA,6.13175,6.51075,NA,154.435,1.6939,1.2176,6.44315,1.4392,1.17752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/13,0.7703,NA,6.13675,6.51575,NA,154.604,1.702,1.21483,6.4687,1.4249,1.1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/14,0.7706,NA,6.10755,6.48575,NA,154,1.69885,1.22298,6.41875,1.4348,1.17652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/15,0.7718,NA,6.13115,6.51375,NA,153.825,1.70035,1.21665,6.455,1.43325,1.17675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/18,0.7748,NA,6.09735,6.48475,NA,153.49,1.70535,1.22878,6.41375,1.41525,1.1802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/19,0.7789,NA,6.08115,6.46825,NA,153.408,1.7119,1.2325,6.38405,1.411,1.17882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/20,0.77865,NA,6.09345,6.47475,NA,153.835,1.7129,1.22888,6.39985,1.4134,1.1773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/21,0.78515,NA,6.09195,6.47175,NA,154.685,1.71065,1.22903,6.39695,1.4152,1.18125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/22,0.7821,NA,6.09285,6.466,NA,154.745,1.72377,1.23038,6.40125,1.4125,1.18352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/25,0.7819,NA,6.08245,6.46275,NA,155.245,1.7214,1.22855,6.38425,1.41125,1.18252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/26,0.78152,NA,6.06785,6.44225,NA,154.545,1.73215,1.23335,6.39525,1.40178,1.1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/27,0.78075,NA,6.04455,6.41775,NA,154.36,1.7325,1.23775,6.3483,1.41117,1.17492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/28,0.7821,NA,6.06095,6.42925,NA,153.035,1.72895,1.2356,6.35875,1.4204,1.17477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/6/29,0.789,NA,6.05295,6.42075,NA,152.12,1.73935,1.2346,6.34925,1.41605,1.16835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/2,0.7916,NA,6.02375,6.37525,NA,150.695,1.76705,1.24458,6.31225,1.39612,1.16715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/3,0.7941,NA,6.01735,6.37205,NA,150.845,1.7664,1.24865,6.30775,1.3941,1.16732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/4,0.7988,NA,6.00045,6.34895,NA,149.72,1.774,1.2543,6.28075,1.39135,1.16762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
