Date,US $ TO AUSTRALIAN $ 1M FWD (RFV) - EXCHANGE RATE,TWD TO USD 1MONTH FORWARD - EXCHANGE RATE,SWEDISH KRONA TO US $ 1M FWD (RFV) - EXCHANGE RATE,NORWAY KRONE TO US $ 1M FWD (RFV) - EXCHANGE RATE,KOREAN TO USD 1MONTH FORWARD - EXCHANGE RATE,JAPANESE YEN TO US $ 1M FWD (RFV) - EXCHANGE RATE,US $ TO US GBP 1M FWD (RFV) - EXCHANGE RATE,US $ TO EURO 1M FWD (RFV) - EXCHANGE RATE,DANISH KRONE TO US $ 1M FWD (RFV) - EXCHANGE RATE,SWISS FRANC TO US $ 1M FWD (RFV) - EXCHANGE RATE,CANADIAN $ TO US $ 1M FWD (RFV) - EXCHANGE RATE,USD TO AUD 1M FWD OR (WMR) - EXCHANGE RATE,AUSTRIAN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,TWD TO USD 1M FWD OR (WMR) - EXCHANGE RATE,BELGIUM TO USD 1M FWD OR (WMR) - EXCHANGE RATE,CANADA TO USD 1M FWD OR (WMR) - EXCHANGE RATE,DEMARK TO USD 1M FWD OR (WMR) - EXCHANGE RATE,USD TO EUR 1M FWD OR (WMR) - EXCHANGE RATE,FINLAND TO USD 1M FWD OR (WMR) - EXCHANGE RATE,FRANCE TO USD 1M FWD OR (WMR) - EXCHANGE RATE,GERMANY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,ITALY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,JPY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,NORWAY TO USD 1M FWD OR (WMR) - EXCHANGE RATE,KOREA TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SPAIN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SWEDEN TO USD 1M FWD OR (WMR) - EXCHANGE RATE,SWIZTHERLAND CHF TO USD 1M FWD OR (WMR) - EXCHANGE RATE,UK ? TO US $ 1M FWD (RFV) - EXCHANGE RATE
1990/7/5,0.794,NA,6.00495,6.35625,NA,150.435,1.77205,1.2516,6.29275,1.4001,1.1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/6,0.79243,NA,6.01695,6.35925,NA,151.535,1.77665,1.2493,6.30275,1.39965,1.16697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/9,0.7987,NA,5.98675,6.33725,NA,151.04,1.79895,1.2546,6.3005,1.39757,1.16367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/10,0.80695,NA,5.97415,6.31625,NA,148.1275,1.81415,1.25873,6.25875,1.3941,1.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/11,0.7943,NA,5.99275,6.33625,NA,148.3675,1.78955,1.2521,6.28025,1.40385,1.16462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/12,0.7923,NA,5.97985,6.38075,NA,147.25,1.8033,1.24553,6.32675,1.3881,1.16192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/13,0.7746,NA,5.98445,6.32075,NA,148.09,1.79025,1.25825,6.26425,1.40445,1.16287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/16,0.7801,NA,5.99705,6.34425,NA,148.055,1.79365,1.2512,6.29825,1.4193,1.1639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/17,0.7892,NA,5.97865,6.34195,NA,147.775,1.80635,1.25595,6.29325,1.4055,1.1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/18,0.7851,NA,5.95865,6.30425,NA,147.715,1.80615,1.25945,6.26075,1.417,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/19,0.7772,NA,5.97405,6.32025,NA,148.065,1.80455,1.26095,6.25675,1.40857,1.1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/20,0.7809,NA,5.96865,6.31775,NA,148.5305,1.8081,1.2603,6.25275,1.402,1.16102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/23,0.7816,NA,5.93575,6.28375,NA,148.0465,1.81395,1.27185,6.23675,1.38267,1.16157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/24,0.7803,NA,5.91905,6.27925,NA,148.7075,1.80225,1.27495,6.19325,1.37907,1.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/25,0.7787,NA,5.91795,6.26825,NA,149.79,1.80095,1.27545,6.18535,1.38107,1.15887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/26,0.7763,NA,5.93315,6.27375,NA,150.31,1.80475,1.27445,6.17875,1.3797,1.15795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/27,0.7865,NA,5.91245,6.23325,NA,148.9375,1.82705,1.2815,6.16175,1.3626,1.15772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/30,0.78725,NA,5.90125,6.21875,NA,147.845,1.8303,1.2853,6.1515,1.3617,1.15657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/7/31,0.7898,NA,5.83555,6.17325,NA,145.695,1.8528,1.3023,6.08755,1.34657,1.15742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/1,0.79015,NA,5.84875,6.17475,NA,147.17,1.84575,1.2981,6.08075,1.3554,1.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/2,0.7844,NA,5.84775,6.20875,NA,149.18,1.84395,1.2986,6.12675,1.3537,1.15667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/3,0.7816,NA,5.85775,6.18325,NA,149.275,1.84875,1.2972,6.08225,1.34667,1.1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/6,0.78417,NA,5.81155,6.11525,NA,150.29,1.8619,1.3131,6.00775,1.332,1.1552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/7,0.787,NA,5.82335,6.13325,NA,150.795,1.86065,1.30956,6.02925,1.33905,1.15707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/8,0.79137,NA,5.86455,6.16775,NA,149.73,1.85975,1.30243,6.11235,1.33945,1.15352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/9,0.7965,NA,5.86105,6.16775,NA,149.678,1.8579,1.30223,6.08145,1.34402,1.15212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/10,0.79375,NA,5.86465,6.17725,NA,150.385,1.86265,1.30275,6.10425,1.33955,1.15225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/13,0.7988,NA,5.81205,6.11925,NA,150.335,1.87375,1.3159,6.01825,1.31722,1.15145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/14,0.8019,NA,5.78875,6.09475,NA,148.7375,1.88665,1.3222,6.02245,1.30465,1.14935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/15,0.8028,NA,5.75755,6.06975,NA,147.536,1.88945,1.32825,5.96925,1.30665,1.14887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/16,0.8021,NA,5.77275,6.07875,NA,147.155,1.89825,1.32435,5.97975,1.2909,1.15345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/17,0.80475,NA,5.77275,6.07875,NA,147.155,1.89825,1.32435,5.96425,1.2909,1.15345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/20,0.8048,NA,5.77195,6.07125,NA,146.4,1.90135,1.32883,5.9875,1.29725,1.14737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/21,0.8118,NA,5.76545,6.0642,NA,146.58,1.90035,1.32035,6.0325,1.29232,1.1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/22,0.8161,NA,5.77145,6.04575,NA,146.19,1.91275,1.3259,6.0085,1.2806,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/23,0.83055,NA,5.74705,6.0261,NA,146.238,1.9448,1.33145,6.0007,1.265,1.13847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/24,0.82585,NA,5.74525,6.01575,NA,146.565,1.9334,1.3367,5.9542,1.25905,1.13327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/27,0.8245,NA,5.74275,6.01575,NA,144.125,1.9385,1.3383,5.945,1.2747,1.14852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/28,0.82705,NA,5.73455,6.01675,NA,143.669,1.93305,1.33605,5.9359,1.2869,1.14697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/29,0.82933,NA,5.74135,6.02615,NA,143.695,1.93315,1.33485,5.9545,1.2845,1.1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/30,0.81235,NA,5.78235,6.06575,NA,144.385,1.9119,1.3248,6.01075,1.2947,1.15122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/8/31,0.81028,NA,5.80795,6.10065,NA,143.7675,1.8803,1.31403,6.01925,1.3091,1.16127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/3,0.8087,NA,5.83225,6.12775,NA,143.59,1.86055,1.30628,6.07175,1.318,1.15772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/4,0.81445,NA,5.82585,6.12125,NA,143.39,1.86835,1.30655,6.05275,1.314,1.1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/5,0.82325,NA,5.77985,6.07225,NA,141.6725,1.8934,1.3214,6.0065,1.2964,1.15747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/6,0.82155,NA,5.74685,6.03825,NA,140.652,1.90035,1.32708,5.96905,1.2967,1.16195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/7,0.81745,NA,5.77795,6.06545,NA,140.065,1.88135,1.3192,5.98825,1.30665,1.16735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/10,0.8063,NA,5.81395,6.10925,NA,139.68,1.84665,1.30705,6.04975,1.3165,1.17207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/11,0.8147,NA,5.85315,6.13775,NA,139.9775,1.84665,1.30185,6.08255,1.3245,1.16527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/12,0.81395,NA,5.82465,6.1363,NA,138.195,1.84835,1.30378,6.05995,1.3286,1.1692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/13,0.8229,NA,5.83225,6.13525,NA,136.394,1.85275,1.2999,6.08875,1.3046,1.17022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/14,0.821,NA,5.76955,6.06875,NA,136.765,1.88515,1.3169,5.99275,1.2947,1.16897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/17,0.83015,NA,5.73635,6.04025,NA,136.615,1.90245,1.33265,5.96075,1.27625,1.16177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/18,0.827,NA,5.72805,6.01645,NA,137.94,1.90125,1.33475,5.91025,1.2911,1.16302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/19,0.8257,NA,5.77495,6.07525,NA,137.53,1.87445,1.31995,5.98605,1.3101,1.16237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/20,0.82297,NA,5.81465,6.08575,NA,137.72,1.86565,1.31145,6.01065,1.3201,1.15727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/21,0.8264,NA,5.80475,6.10505,NA,136.555,1.834,1.31205,6.00245,1.3199,1.15695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/24,0.8272,NA,5.75875,6.06275,NA,137.25,1.85205,1.3286,5.98775,1.29762,1.15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/25,0.828,NA,5.75265,6.06525,NA,136.74,1.85685,1.3247,5.9441,1.30715,1.15512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/26,0.8268,NA,5.78905,6.08525,NA,136.855,1.8623,1.31508,6.00155,1.3013,1.15942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/27,0.8236,NA,5.80005,6.09125,NA,138.175,1.86665,1.3106,6.01125,1.2928,1.16047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/9/28,0.8216,NA,5.79495,6.07475,NA,138.53,1.8651,1.31365,5.9895,1.2966,1.15937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/1,0.8266,NA,5.74885,6.04075,NA,136.6125,1.87255,1.3263,5.93925,1.2965,1.15755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/2,0.82655,NA,5.75345,6.04925,NA,136.7175,1.88285,1.32805,5.96055,1.2886,1.15747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/3,0.83025,NA,5.72455,6.02125,NA,135.875,1.89027,1.33695,5.92295,1.282,1.15627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/4,0.82945,NA,5.69685,5.99025,NA,133.585,1.90375,1.34195,5.86675,1.27795,1.15335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/5,0.8323,NA,5.71275,5.98705,NA,132.22,1.94725,1.3338,5.87225,1.29095,1.1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/8,0.83205,NA,5.67755,5.94925,NA,130.605,1.96675,1.3479,5.87175,1.28245,1.15557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/9,0.82835,NA,5.65055,5.91675,NA,130.36,1.96305,1.35815,5.82825,1.2758,1.15532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/10,0.8172,NA,5.65885,5.92225,NA,129.415,1.95715,1.3547,5.83475,1.283,1.15355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/11,0.81305,NA,5.65775,5.94075,NA,129.53,1.96945,1.35995,5.86625,1.2735,1.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/12,0.814,NA,5.66545,5.90975,NA,129.0705,1.9582,1.3611,5.80925,1.28555,1.15077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/15,0.7861,NA,5.66755,5.91795,NA,127.745,1.9388,1.35902,5.82225,1.2903,1.15812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/16,0.7863,NA,5.64855,5.89995,NA,126.555,1.9555,1.36652,5.79995,1.275,1.1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/17,0.77295,NA,5.64595,5.86825,NA,125.0175,1.9525,1.36555,5.76425,1.271,1.17695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/18,0.76605,NA,5.64575,5.88175,NA,124.395,1.96045,1.36655,5.78075,1.25815,1.17472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/19,0.7743,NA,5.62475,5.85375,NA,125.98,1.9494,1.37405,5.75875,1.2685,1.17705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/22,0.77585,NA,5.66375,5.90225,NA,126.0855,1.93365,1.36185,5.77545,1.2833,1.18022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990/10/23,0.77545,NA,5.65575,5.91025,NA,128.225,1.93352,1.36245,5.80645,1.2821,1.17697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
