item_id,mase,smape,mse,mae
austria,2.368916939258991,0.008506068699493356,0.018501900646485107,0.10745630264282227
uk,2.9418331912950286,0.01110851522449659,0.00012672619734708235,0.008706818024317423
belgium,2.4839899337974574,0.008928921977704677,0.18362063297487718,0.33031883239746096
taiwan,13.853703437382984,0.02341927064729193,0.7096459709819707,0.7349784215291341
germany,2.438627375141315,0.008757416680823143,0.0003789071967863341,0.015723872184753417
italy,1.4034342012220813,0.005017187910323223,133.89543378651143,8.957893880208333
switzerland,2.9089574109797667,0.014304098700881177,0.000299128617545108,0.012703045209248861
sweden,5.63162123630508,0.023382016140459025,0.11004375744532809,0.24254369735717773
france,2.4714558974510736,0.008884103477046153,0.005045917358961561,0.053438425064086914
finland,2.1883463212422276,0.007859181336126864,0.003062217911967006,0.04289100964864095
japan,2.4295154446682727,0.007598197128694201,1.8002935597673058,1.13895263671875
norway,7.710018669504565,0.031338136102499935,0.16259103057351845,0.328565788269043
canada,1.794924349692894,0.006407321090716632,0.00010027241836449244,0.008650751908620198
australia,2.713497013659878,0.012406712327194036,0.0005353237507814394,0.018808305263519287
denmark,2.710583520198009,0.009721965017488222,0.006942879902779472,0.06649781862894694
south_korea,3.530565543377746,0.012732242204422291,361.6007768472036,16.9285400390625
spain,1.5354962377655215,0.005497749456558678,0.981150216034924,0.8421946207682292
average,3.595028630761347,0.012109947301307065,29.38109112208788,1.7552273096991522
