Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,33.1974,33.2168,2.1464,1.66188
2004-07-27,33.4285,33.4473,2.1464,1.67
2004-07-28,33.5063,33.5246,2.1474,1.68
2004-07-29,33.4216,33.4384,2.1474,1.69375
2004-07-30,33.5063,33.5232,2.1453,1.7
2004-08-02,33.5174,33.5356,2.1443,1.69
2004-08-03,33.4424,33.4599,2.1453,1.7
2004-08-04,33.4618,33.4786,2.1453,1.7
2004-08-05,33.4868,33.5021,2.1453,1.71
2004-08-06,32.9103,32.9257,2.1443,1.71
2004-08-09,32.913,32.9294,2.1413,1.67
2004-08-10,32.758,32.7738,2.1413,1.68
2004-08-11,33.0533,33.0683,2.1423,1.71
2004-08-12,32.983,32.9981,2.1433,1.71125
2004-08-13,32.6573,32.6721,2.1413,1.72
2004-08-16,32.6811,32.696,2.1423,1.72
2004-08-17,32.7182,32.7331,2.1423,1.73
2004-08-18,32.8167,32.8317,2.1433,1.73
2004-08-19,32.6414,32.6561,2.1433,1.74
2004-08-20,32.7288,32.7433,2.1433,1.74
2004-08-23,33.0451,33.0604,2.1433,1.75
2004-08-24,33.2796,33.2944,2.1443,1.76
2004-08-25,33.3484,33.3625,2.1443,1.77
2004-08-26,33.3636,33.3771,2.1453,1.78125
2004-08-27,33.5146,33.5278,2.1443,1.79
2004-08-30,33.4993,33.5123,2.1443,1.79
2004-08-31,33.1933,33.2065,2.1443,1.8
2004-09-01,33.1456,33.1582,2.1443,1.8
2004-09-02,33.1865,33.198,2.1403,1.81
2004-09-03,33.4673,33.4786,2.1433,1.82
2004-09-06,33.4008,33.4118,2.1453,1.85
2004-09-07,33.4008,33.4124,2.1453,1.86
2004-09-08,33.2631,33.2741,2.1443,1.8625
2004-09-09,33.1565,33.1663,2.1453,1.87
2004-09-10,32.806,32.8155,2.1453,1.87438
2004-09-13,32.9453,32.9546,2.1453,1.88
2004-09-14,32.8461,32.8553,2.1453,1.88
2004-09-15,33.2111,33.22,2.1453,1.88813
2004-09-16,33.233,33.2411,2.1453,1.91
2004-09-17,33.162,33.1699,2.1453,1.91
2004-09-20,33.2084,33.216,2.1443,1.91875
2004-09-21,32.9157,32.924,2.1453,1.93
2004-09-22,32.9614,32.9693,2.1453,1.94125
2004-09-23,32.806,32.8136,2.1453,1.95
2004-09-24,32.8835,32.891,2.1453,1.96
2004-09-27,32.8007,32.8082,2.1453,1.97
2004-09-28,32.7634,32.7706,2.1453,1.975
2004-09-29,32.758,32.7658,2.1788,2.00563
2004-09-30,32.4798,32.4872,2.1798,2.02
2004-10-01,32.5466,32.554,2.1778,2.0275
2004-10-04,32.901,32.9091,2.1788,2.03125
2004-10-05,32.7793,32.7877,2.1788,2.04
2004-10-06,32.7873,32.7954,2.1798,2.045
2004-10-07,32.8354,32.8427,2.1798,2.06
2004-10-08,32.4915,32.4989,2.1788,2.06
2004-10-11,32.5834,32.5908,2.1758,2.0525
