Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,5.39815,5.40129,2.03,1.66188
2004-07-27,5.43575,5.43877,2.02,1.67
2004-07-28,5.44835,5.45134,2.02,1.68
2004-07-29,5.43465,5.43734,2.02,1.69375
2004-07-30,5.44835,5.45112,2.02,1.7
2004-08-02,5.4502,5.45314,2.02,1.69
2004-08-03,5.438,5.44084,2.02,1.7
2004-08-04,5.44115,5.44387,2.02,1.7
2004-08-05,5.4452,5.44769,2.02,1.71
2004-08-06,5.3515,5.35397,2.02,1.71
2004-08-09,5.3519,5.35457,2.02,1.67
2004-08-10,5.3267,5.32927,2.02,1.68
2004-08-11,5.3747,5.37715,2.02,1.71
2004-08-12,5.3633,5.36574,2.03,1.71125
2004-08-13,5.3103,5.31272,2.01,1.72
2004-08-16,5.31415,5.31662,2.01,1.72
2004-08-17,5.32025,5.32265,2.02,1.73
2004-08-18,5.33625,5.33868,2.01,1.73
2004-08-19,5.30775,5.31014,2.0,1.74
2004-08-20,5.32195,5.32432,2.0,1.74
2004-08-23,5.3734,5.37587,2.0,1.75
2004-08-24,5.4115,5.41392,2.0,1.76
2004-08-25,5.4227,5.425,2.0,1.77
2004-08-26,5.4252,5.42737,2.0,1.78125
2004-08-27,5.44975,5.45187,1.99,1.79
2004-08-30,5.4472,5.44936,2.01,1.79
2004-08-31,5.3975,5.39962,2.01,1.8
2004-09-01,5.38975,5.39178,2.02,1.8
2004-09-02,5.39635,5.39825,2.02,1.81
2004-09-03,5.44205,5.44387,2.03,1.82
2004-09-06,5.43125,5.433,2.02,1.85
2004-09-07,5.43125,5.4331,2.02,1.86
2004-09-08,5.40885,5.41062,2.02,1.8625
2004-09-09,5.3915,5.39309,2.02,1.87
2004-09-10,5.33455,5.33605,2.02,1.87438
2004-09-13,5.35715,5.35866,2.01,1.88
2004-09-14,5.34105,5.34253,2.02,1.88
2004-09-15,5.40035,5.40182,2.02,1.88813
2004-09-16,5.40395,5.40526,2.03,1.91
2004-09-17,5.3924,5.39367,2.03,1.91
