Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,33.95,33.9175,1.1,1.66188
2004-07-27,34.025,33.9775,1.1,1.67
2004-07-28,34.05,34.02,1.1,1.68
2004-07-29,34.04,34.0025,1.1,1.69375
2004-07-30,33.99,33.9475,1.1,1.7
2004-08-02,33.945,33.8975,1.1,1.69
2004-08-03,34.09,34.05,1.1,1.7
2004-08-04,34.02,33.99,1.1,1.7
2004-08-05,34.045,34.014,1.1,1.71
2004-08-06,34.12,34.0675,1.1,1.71
2004-08-09,34.025,33.9675,1.1,1.67
2004-08-10,33.965,33.9025,1.1,1.68
2004-08-11,33.99,33.935,1.1,1.71
2004-08-12,34.1,34.0375,1.1,1.71125
2004-08-13,34.035,33.985,1.1,1.72
2004-08-16,34.015,33.965,1.1,1.72
2004-08-17,34.03,33.985,1.1,1.73
2004-08-18,34.03,33.985,1.1,1.73
2004-08-19,33.92,33.8575,1.1,1.74
2004-08-20,33.91,33.865,1.1,1.74
2004-08-23,33.925,33.8725,1.1,1.75
2004-08-24,34.055,34.0025,1.1,1.76
2004-08-25,34.063,34.0105,1.1,1.77
2004-08-26,33.925,33.885,1.1,1.78125
2004-08-27,33.945,33.9175,1.1,1.79
2004-08-30,33.905,33.87,1.1,1.79
2004-08-31,34.04,34.005,1.1,1.8
2004-09-01,33.85,33.815,1.1,1.8
2004-09-02,33.8,33.75,1.1,1.81
2004-09-03,33.76,33.7175,1.1,1.82
2004-09-06,33.931,33.886,1.1,1.85
2004-09-07,33.935,33.8825,1.1,1.86
2004-09-08,33.85,33.7975,1.1,1.8625
2004-09-09,33.8,33.755,1.1,1.87
2004-09-10,33.78,33.7375,1.1,1.87438
2004-09-13,33.905,33.86,1.1,1.88
2004-09-14,33.865,33.8,1.15,1.88
2004-09-15,33.75,33.6825,1.2,1.88813
2004-09-16,33.665,33.6025,1.2,1.91
2004-09-17,33.865,33.825,1.2,1.91
2004-09-20,33.895,33.85,1.2,1.91875
2004-09-21,33.915,33.885,1.2,1.93
2004-09-22,33.755,33.72,1.2,1.94125
2004-09-23,33.825,33.805,1.2,1.95
2004-09-24,33.83,33.8175,1.2,1.96
2004-09-27,33.875,33.8775,1.2,1.97
2004-09-28,34.075,34.0775,1.2,1.975
2004-09-29,33.86,33.86,1.2,2.00563
2004-09-30,33.97,33.955,1.2,2.02
2004-10-01,33.79,33.765,1.4,2.0275
2004-10-04,33.725,33.71,1.25,2.03125
2004-10-05,33.915,33.9175,1.25,2.04
2004-10-06,33.915,33.9275,1.25,2.045
2004-10-07,33.915,33.915,1.25,2.06
2004-10-08,33.725,33.695,1.25,2.06
2004-10-11,33.826,33.7985,1.25,2.0525
2004-10-12,33.875,33.865,1.25,2.05813
2004-10-13,33.905,33.895,1.25,2.07
2004-10-14,33.87,33.855,1.25,2.07
2004-10-15,33.84,33.81,1.25,2.07
2004-10-18,33.855,33.825,1.25,2.07875
2004-10-19,33.865,33.83,1.25,2.08
2004-10-20,33.81,33.77,1.25,2.09
2004-10-21,33.785,33.735,1.25,2.1
2004-10-22,33.67,33.615,1.25,2.11
2004-10-25,33.75,33.695,1.25,2.11
2004-10-26,33.695,33.638,1.25,2.11938
2004-10-27,33.565,33.495,1.25,2.13
2004-10-28,33.48,33.4275,1.25,2.16
2004-10-29,33.405,33.34,1.25,2.17
2004-11-01,33.45,33.415,1.25,2.18
2004-11-02,33.485,33.4425,1.25,2.19
2004-11-03,33.395,33.35,1.25,2.2
2004-11-04,33.15,33.1,1.25,2.21
2004-11-05,32.95,32.905,1.25,2.22
2004-11-08,32.92,32.8925,1.25,2.26
2004-11-09,32.92,32.925,1.25,2.27375
2004-11-10,32.99,32.99,1.25,2.27625
2004-11-11,32.96,32.93,1.25,2.29
2004-11-12,32.98,32.925,1.25,2.29
2004-11-15,32.82,32.776,1.25,2.3
2004-11-16,32.8,32.7725,1.25,2.31
2004-11-17,32.55,32.495,1.25,2.33
2004-11-18,32.645,32.606,1.25,2.33875
2004-11-19,32.45,32.44,1.25,2.345
2004-11-22,32.47,32.47,1.25,2.36
2004-11-23,32.47,32.475,1.25,2.38
2004-11-24,32.26,32.21,1.25,2.38063
2004-11-25,32.2,32.1375,1.25,2.39
2004-11-26,32.22,32.1825,1.25,2.4
2004-11-29,32.16,32.15,1.25,2.4
2004-11-30,32.225,32.2125,1.25,2.41
2004-12-01,32.195,32.15,1.25,2.41875
2004-12-02,31.86,31.765,1.25,2.4375
2004-12-03,32.195,32.175,1.25,2.44
2004-12-06,32.045,31.965,1.25,2.44
2004-12-07,32.09,32.0225,1.25,2.45
2004-12-08,32.13,32.11,1.25,2.46
2004-12-09,32.21,32.17,1.25,2.47
2004-12-10,32.465,32.455,1.25,2.48
2004-12-13,32.315,32.27,1.25,2.49
2004-12-14,32.31,32.255,1.25,2.5
2004-12-15,32.43,32.3775,1.25,2.50125
2004-12-16,32.33,32.23,1.25,2.51
2004-12-17,32.365,32.315,1.25,2.52
2004-12-20,32.35,32.305,1.25,2.52125
2004-12-21,32.355,32.295,1.25,2.53
2004-12-22,32.295,32.245,1.25,2.53
2004-12-23,32.215,32.18,1.25,2.54875
2004-12-24,32.18,32.135,1.25,2.55
2004-12-27,32.09,31.98,1.25,2.55
2004-12-28,32.035,31.925,1.25,2.55
