Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,110.005,109.832,0.09,1.66188
2004-07-27,110.905,110.77,0.09,1.67
2004-07-28,111.715,111.5317,0.09,1.68
2004-07-29,112.01,111.9302,0.09,1.69375
2004-07-30,111.455,111.3165,0.09,1.7
2004-08-02,110.815,110.6105,0.09,1.69
2004-08-03,110.63,110.5243,0.09,1.7
2004-08-04,111.285,110.9152,0.09,1.7
2004-08-05,111.535,111.6253,0.09,1.71
2004-08-06,110.095,110.4277,0.09,1.71
2004-08-09,110.535,110.5267,0.09,1.67
2004-08-10,110.795,111.2206,0.09,1.68
2004-08-11,111.14,110.4491,0.09,1.71
2004-08-12,111.17,110.66,0.09,1.71125
2004-08-13,110.725,110.5647,0.09,1.72
2004-08-16,110.665,110.3158,0.09,1.72
2004-08-17,110.03,109.7072,0.09,1.73
2004-08-18,109.645,109.2247,0.09,1.73
2004-08-19,109.36,109.2574,0.09,1.74
2004-08-20,109.285,108.9877,0.09,1.74
2004-08-23,109.445,109.7007,0.09,1.75
2004-08-24,109.52,109.4897,0.09,1.76
2004-08-25,110.185,109.9677,0.09,1.77
2004-08-26,109.575,109.4982,0.09,1.78125
2004-08-27,109.555,109.4477,0.09,1.79
2004-08-30,110.03,109.674,0.08833,1.79
2004-08-31,109.745,108.9742,0.08667,1.8
2004-09-01,109.48,109.2817,0.08583,1.8
2004-09-02,109.35,109.3507,0.08583,1.81
2004-09-03,110.235,110.2777,0.08583,1.82
2004-09-06,110.015,109.9662,0.08583,1.85
2004-09-07,109.39,109.2377,0.08583,1.86
2004-09-08,109.275,109.2212,0.08583,1.8625
2004-09-09,109.805,109.4207,0.085,1.87
2004-09-10,109.315,109.4447,0.08333,1.87438
2004-09-13,110.165,109.8822,0.08167,1.88
2004-09-14,109.57,109.4772,0.08083,1.88
2004-09-15,110.215,109.8397,0.08,1.88813
2004-09-16,109.67,109.4502,0.08,1.91
2004-09-17,110.155,109.4332,0.08,1.91
2004-09-20,109.945,109.7032,0.08,1.91875
2004-09-21,110.065,109.5677,0.08,1.93
2004-09-22,110.66,110.4082,0.08,1.94125
2004-09-23,110.355,110.6532,0.08,1.95
2004-09-24,110.765,110.6382,0.08,1.96
2004-09-27,111.2,111.0938,0.08,1.97
2004-09-28,111.445,111.2025,0.08,1.975
2004-09-29,110.805,110.7132,0.09167,2.00563
2004-09-30,110.215,109.8537,0.09,2.02
2004-10-01,110.415,110.3632,0.09,2.0275
2004-10-04,111.165,110.7177,0.09,2.03125
2004-10-05,111.13,111.0232,0.09,2.04
2004-10-06,111.28,111.1107,0.09,2.045
2004-10-07,111.205,111.0279,0.09,2.06
2004-10-08,109.745,109.3402,0.09,2.06
2004-10-11,109.22,109.1052,0.09,2.0525
2004-10-12,109.77,109.3913,0.09,2.05813
2004-10-13,109.85,109.6287,0.09,2.07
2004-10-14,109.51,109.4939,0.09,2.07
2004-10-15,109.115,109.1797,0.09,2.07
2004-10-18,109.235,109.0762,0.09,2.07875
2004-10-19,108.49,108.1292,0.09,2.08
2004-10-20,108.225,108.1238,0.09,2.09
2004-10-21,107.485,107.2862,0.09,2.1
2004-10-22,107.485,107.0262,0.09,2.11
2004-10-25,106.635,106.4522,0.09,2.11
2004-10-26,106.565,106.6552,0.09,2.11938
2004-10-27,106.33,106.2192,0.09,2.13
2004-10-28,106.135,106.0777,0.08833,2.16
2004-10-29,106.19,105.6132,0.08833,2.17
2004-11-01,106.375,106.254,0.08833,2.18
2004-11-02,106.225,105.9652,0.08917,2.19
2004-11-03,106.135,106.0892,0.08917,2.2
2004-11-04,106.075,105.8482,0.08833,2.21
2004-11-05,105.695,105.4272,0.08833,2.22
2004-11-08,105.575,105.3277,0.08833,2.26
2004-11-09,105.735,105.5667,0.08833,2.27375
2004-11-10,106.955,106.9489,0.08833,2.27625
2004-11-11,106.72,106.4192,0.08833,2.29
2004-11-12,105.655,105.3822,0.0875,2.29
2004-11-15,105.515,105.0902,0.0875,2.3
2004-11-16,105.375,105.168,0.0875,2.31
2004-11-17,104.175,103.8347,0.0875,2.33
2004-11-18,104.205,104.0602,0.0875,2.33875
2004-11-19,102.945,102.9015,0.0875,2.345
2004-11-22,103.215,103.0328,0.0875,2.36
2004-11-23,103.535,103.14,0.0875,2.38
2004-11-24,102.825,102.6242,0.0875,2.38063
2004-11-25,102.54,102.3887,0.0875,2.39
2004-11-26,102.725,102.3682,0.0875,2.4
2004-11-29,102.605,102.6326,0.08667,2.4
2004-11-30,102.795,102.6927,0.08667,2.41
2004-12-01,102.91,102.4392,0.08667,2.41875
2004-12-02,103.165,103.0022,0.08667,2.4375
2004-12-03,102.515,101.8727,0.08667,2.44
2004-12-06,102.635,102.9927,0.08667,2.44
2004-12-07,102.745,102.6532,0.08667,2.45
2004-12-08,104.695,103.8367,0.08667,2.46
2004-12-09,104.93,104.3667,0.08667,2.47
2004-12-10,105.52,104.9352,0.08667,2.48
2004-12-13,104.685,104.609,0.08667,2.49
2004-12-14,105.535,105.3022,0.08667,2.5
2004-12-15,104.135,104.1412,0.08667,2.50125
2004-12-16,104.305,104.5392,0.08667,2.51
2004-12-17,104.41,103.9602,0.08667,2.52
2004-12-20,103.915,103.8367,0.08667,2.52125
2004-12-21,104.525,104.1352,0.08667,2.53
2004-12-22,104.095,104.0017,0.08667,2.53
2004-12-23,103.625,103.3732,0.08667,2.54875
2004-12-24,103.58,103.4737,0.08667,2.55
2004-12-27,103.17,102.7702,0.08667,2.55
2004-12-28,103.25,102.8472,0.08667,2.55
2004-12-29,104.18,103.5622,0.10333,2.56
2004-12-30,103.035,102.9022,0.10167,2.56
2004-12-31,102.47,102.2417,0.10167,2.56438
2005-01-03,102.875,102.4977,0.10167,2.56438
2005-01-04,104.355,104.3917,0.1,2.57
2005-01-05,103.855,103.8737,0.1,2.59
2005-01-06,105.075,104.8317,0.1,2.61
2005-01-07,104.85,104.5632,0.1,2.61
2005-01-10,104.475,103.9692,0.1,2.62
2005-01-11,103.865,103.1422,0.1,2.63
2005-01-12,102.385,102.2107,0.1,2.64
2005-01-13,102.38,102.175,0.1,2.66
2005-01-14,102.58,101.8182,0.1,2.66
2005-01-17,102.05,101.8427,0.1,2.67
2005-01-18,102.605,102.0567,0.1,2.67
2005-01-19,102.525,102.5942,0.1,2.68
2005-01-20,103.155,103.0877,0.1,2.6925
2005-01-21,103.245,102.4948,0.1,2.7
2005-01-24,102.755,102.3744,0.1,2.7
2005-01-25,104.075,103.8425,0.1,2.7
2005-01-26,102.885,102.7907,0.1,2.71
2005-01-27,103.235,102.9657,0.1,2.73
2005-01-28,103.555,103.1551,0.09833,2.7425
2005-01-31,103.455,103.4641,0.09917,2.75
2005-02-01,104.075,103.5137,0.09917,2.75
2005-02-02,103.875,103.4584,0.09917,2.75
2005-02-03,104.675,104.2525,0.09917,2.77
2005-02-04,103.675,103.8928,0.09917,2.77
2005-02-07,104.4,104.6627,0.09917,2.77
2005-02-08,105.835,105.5557,0.09917,2.77063
2005-02-09,105.71,105.4358,0.09917,2.77438
2005-02-10,105.575,105.6465,0.09917,2.79
2005-02-11,105.665,105.4963,0.09917,2.79438
2005-02-14,105.045,104.9567,0.09917,2.8
2005-02-15,104.675,104.1922,0.09917,2.81
2005-02-16,105.445,105.1914,0.09917,2.82
2005-02-17,105.485,105.3057,0.09917,2.8475
2005-02-18,105.745,105.4247,0.09917,2.85
2005-02-21,105.415,105.3837,0.09917,2.86
2005-02-22,104.205,103.8522,0.09917,2.87
2005-02-23,105.085,104.6402,0.09917,2.87313
2005-02-24,105.405,105.0915,0.09917,2.89
2005-02-25,105.2,104.9895,0.0975,2.91
2005-02-28,104.285,104.3182,0.0975,2.92
2005-03-01,104.455,104.1966,0.0975,2.93
2005-03-02,104.865,104.4834,0.09667,2.94
2005-03-03,105.02,105.0157,0.09583,2.95
2005-03-04,104.465,104.4911,0.09583,2.95875
2005-03-07,105.255,104.9634,0.09583,2.96
