Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,4.893,4.89585,2.15,1.66188
2004-07-27,4.9271,4.92982,2.15,1.67
2004-07-28,4.9385,4.94121,2.15,1.68
2004-07-29,4.926,4.92852,2.15,1.69375
2004-07-30,4.9385,4.94101,2.15,1.7
2004-08-02,4.9402,4.94284,2.14,1.69
2004-08-03,4.9291,4.93169,2.15,1.7
2004-08-04,4.932,4.93444,2.15,1.7
2004-08-05,4.93565,4.9379,2.15,1.71
2004-08-06,4.8507,4.85295,2.14,1.71
2004-08-09,4.8511,4.85349,2.14,1.67
2004-08-10,4.8282,4.83056,2.14,1.68
2004-08-11,4.8718,4.87396,2.14,1.71
2004-08-12,4.8614,4.86361,2.14,1.71125
2004-08-13,4.8134,4.81556,2.14,1.72
2004-08-16,4.8169,4.8191,2.14,1.72
2004-08-17,4.82235,4.82456,2.14,1.73
2004-08-18,4.8369,4.83909,2.14,1.73
2004-08-19,4.81105,4.81322,2.14,1.74
2004-08-20,4.8239,4.82607,2.14,1.74
2004-08-23,4.8706,4.8728,2.14,1.75
2004-08-24,4.9051,4.90729,2.14,1.76
2004-08-25,4.91525,4.91733,2.14,1.77
2004-08-26,4.9175,4.91948,2.15,1.78125
2004-08-27,4.93975,4.94168,2.14,1.79
2004-08-30,4.9375,4.93941,2.14,1.79
2004-08-31,4.8924,4.89433,2.14,1.8
2004-09-01,4.8854,4.88722,2.14,1.8
2004-09-02,4.8914,4.89309,2.14,1.81
2004-09-03,4.9328,4.93444,2.14,1.82
2004-09-06,4.923,4.92459,2.15,1.85
2004-09-07,4.923,4.92468,2.15,1.86
2004-09-08,4.9027,4.9043,2.14,1.8625
2004-09-09,4.887,4.88841,2.15,1.87
2004-09-10,4.8353,4.8367,2.15,1.87438
2004-09-13,4.8558,4.8572,2.15,1.88
2004-09-14,4.8412,4.84258,2.15,1.88
2004-09-15,4.895,4.89633,2.15,1.88813
2004-09-16,4.8982,4.89944,2.15,1.91
2004-09-17,4.8878,4.88894,2.15,1.91
2004-09-20,4.8946,4.89574,2.14,1.91875
2004-09-21,4.8515,4.85269,2.15,1.93
2004-09-22,4.8582,4.85937,2.15,1.94125
2004-09-23,4.8353,4.83642,2.15,1.95
2004-09-24,4.8467,4.84783,2.15,1.96
2004-09-27,4.8345,4.83562,2.15,1.97
2004-09-28,4.829,4.83009,2.15,1.975
2004-09-29,4.8282,4.82938,2.18,2.00563
2004-09-30,4.78725,4.78832,2.18,2.02
2004-10-01,4.7971,4.79816,2.18,2.0275
2004-10-04,4.8493,4.8505,2.18,2.03125
2004-10-05,4.8314,4.83261,2.18,2.04
2004-10-06,4.83255,4.83374,2.18,2.045
2004-10-07,4.8396,4.84071,2.18,2.06
2004-10-08,4.78895,4.79005,2.18,2.06
2004-10-11,4.8025,4.80359,2.18,2.0525
2004-10-12,4.8308,4.83186,2.18,2.05813
2004-10-13,4.8471,4.84817,2.18,2.07
2004-10-14,4.79745,4.79843,2.18,2.07
2004-10-15,4.76365,4.76457,2.18,2.07
2004-10-18,4.74955,4.75047,2.17,2.07875
2004-10-19,4.74995,4.75083,2.17,2.08
2004-10-20,4.71715,4.71798,2.17,2.09
2004-10-21,4.71605,4.71679,2.17,2.1
2004-10-22,4.70705,4.70776,2.17,2.11
2004-10-25,4.65405,4.65471,2.17,2.11
2004-10-26,4.65435,4.65506,2.18,2.11938
2004-10-27,4.65585,4.65644,2.18,2.13
2004-10-28,4.66865,4.66911,2.18,2.16
2004-10-29,4.67415,4.67457,2.18,2.17
2004-11-01,4.66515,4.66555,2.18,2.18
2004-11-02,4.68185,4.68222,2.18,2.19
2004-11-03,4.64495,4.64535,2.19,2.2
2004-11-04,4.61535,4.61561,2.19,2.21
2004-11-05,4.605,4.60514,2.19,2.22
2004-11-08,4.59115,4.59124,2.2,2.26
2004-11-09,4.60425,4.60439,2.2,2.27375
2004-11-10,4.6032,4.60331,2.2,2.27625
2004-11-11,4.6109,4.61096,2.2,2.29
2004-11-12,4.5975,4.59757,2.2,2.29
2004-11-15,4.59465,4.59477,2.2,2.3
2004-11-16,4.58155,4.58163,2.2,2.31
2004-11-17,4.56505,4.56507,2.2,2.33
2004-11-18,4.5777,4.57765,2.21,2.33875
2004-11-19,4.55315,4.55309,2.21,2.345
2004-11-22,4.55875,4.55866,2.21,2.36
2004-11-23,4.5427,4.54257,2.21,2.38
2004-11-24,4.5182,4.51805,2.21,2.38063
2004-11-25,4.4909,4.49068,2.21,2.39
2004-11-26,4.48395,4.48364,2.21,2.4
2004-11-29,4.47535,4.47492,2.21,2.4
2004-11-30,4.4737,4.4732,2.21,2.41
2004-12-01,4.4686,4.46812,2.2,2.41875
2004-12-02,4.48075,4.48018,2.2,2.4375
2004-12-03,4.4469,4.44629,2.2,2.44
2004-12-06,4.42835,4.42772,2.2,2.44
2004-12-07,4.428,4.42736,2.2,2.45
2004-12-08,4.4816,4.48091,2.2,2.46
2004-12-09,4.4848,4.48402,2.2,2.47
2004-12-10,4.4967,4.49593,2.2,2.48
2004-12-13,4.4713,4.47049,2.2,2.49
2004-12-14,4.476,4.47523,2.21,2.5
2004-12-15,4.43,4.42923,2.21,2.50125
2004-12-16,4.475,4.47422,2.21,2.51
2004-12-17,4.486,4.4852,2.21,2.52
2004-12-20,4.4346,4.43382,2.21,2.52125
2004-12-21,4.4489,4.4481,2.21,2.53
2004-12-22,4.44175,4.44102,2.21,2.53
2004-12-23,4.4034,4.40271,2.21,2.54875
2004-12-24,4.39205,4.39131,2.21,2.55
2004-12-27,4.3648,4.36402,2.21,2.55
2004-12-28,4.37105,4.37026,2.21,2.55
2004-12-29,4.3765,4.37567,2.21,2.56
2004-12-30,4.36225,4.36137,2.19,2.56
2004-12-31,4.3743,4.37336,2.18,2.56438
2005-01-03,4.417,4.41598,2.18,2.56438
2005-01-04,4.473,4.47198,2.18,2.57
2005-01-05,4.4784,4.47742,2.18,2.59
2005-01-06,4.5139,4.51283,2.18,2.61
2005-01-07,4.557,4.5559,2.18,2.61
2005-01-10,4.5403,4.53908,2.17,2.62
2005-01-11,4.5213,4.52011,2.18,2.63
2005-01-12,4.47535,4.47417,2.17,2.64
2005-01-13,4.5035,4.50216,2.17,2.66
2005-01-14,4.54065,4.53932,2.17,2.66
2005-01-17,4.54445,4.54294,2.17,2.67
2005-01-18,4.5654,4.56389,2.17,2.67
2005-01-19,4.5619,4.56041,2.17,2.68
2005-01-20,4.5906,4.5891,2.17,2.6925
2005-01-21,4.57415,4.57266,2.17,2.7
2005-01-24,4.5584,4.55675,2.17,2.7
2005-01-25,4.589,4.58739,2.17,2.7
2005-01-26,4.5486,4.54701,2.17,2.71
2005-01-27,4.56015,4.55857,2.17,2.73
2005-01-28,4.5703,4.56869,2.17,2.7425
2005-01-31,4.5612,4.55957,2.17,2.75
2005-02-01,4.57135,4.56971,2.17,2.75
2005-02-02,4.5619,4.56027,2.17,2.75
2005-02-03,4.5897,4.5881,2.17,2.77
2005-02-04,4.59395,4.59235,2.17,2.77
2005-02-07,4.6337,4.63208,2.17,2.77
2005-02-08,4.65615,4.65459,2.17,2.77063
2005-02-09,4.64895,4.6473,2.17,2.77438
2005-02-10,4.61175,4.61017,2.17,2.79
2005-02-11,4.6175,4.61588,2.17,2.79438
2005-02-14,4.58615,4.58456,2.17,2.8
2005-02-15,4.5851,4.58354,2.17,2.81
2005-02-16,4.5791,4.5775,2.16,2.82
2005-02-17,4.55105,4.54941,2.16,2.8475
2005-02-18,4.5507,4.54906,2.16,2.85
2005-02-21,4.5486,4.54693,2.16,2.86
2005-02-22,4.497,4.49531,2.16,2.87
2005-02-23,4.50655,4.50445,2.16,2.87313
2005-02-24,4.5028,4.50069,2.17,2.89
2005-02-25,4.5076,4.5054,2.17,2.91
2005-02-28,4.4794,4.47701,2.17,2.92
2005-03-01,4.5093,4.50693,2.17,2.93
2005-03-02,4.5335,4.53124,2.16,2.94
2005-03-03,4.5292,4.52684,2.16,2.95
2005-03-04,4.4892,4.48684,2.16,2.95875
2005-03-07,4.5076,4.50498,2.16,2.96
2005-03-08,4.4552,4.45274,2.16,2.97
2005-03-09,4.4502,4.4478,2.16,2.98
2005-03-10,4.434,4.43144,2.16,3.0
2005-03-11,4.41735,4.41476,2.16,3.01
2005-03-14,4.4469,4.44409,2.16,3.02
2005-03-15,4.4663,4.46351,2.16,3.03
2005-03-16,4.4274,4.42468,2.16,3.04
2005-03-17,4.4439,4.44114,2.17,3.05
2005-03-18,4.4747,4.47188,2.16,3.05
2005-03-21,4.5103,4.50734,2.16,3.0525
2005-03-22,4.50315,4.50028,2.17,3.06
2005-03-23,4.56925,4.56641,2.17,3.09
2005-03-24,4.58545,4.58272,2.17,3.09
2005-03-25,4.58545,4.58272,2.17,3.09
2005-03-28,4.61785,4.61509,2.17,3.09
2005-03-29,4.60425,4.60157,2.17,3.0925
2005-03-30,4.58685,4.58396,2.18,3.1
2005-03-31,4.57485,4.57203,2.18,3.12
2005-04-01,4.58755,4.58469,2.18,3.12
2005-04-04,4.63585,4.63288,2.18,3.12
2005-04-05,4.63115,4.62799,2.18,3.1225
2005-04-06,4.627,4.62391,2.18,3.12313
2005-04-07,4.60785,4.6048,2.18,3.13
2005-04-08,4.62795,4.62482,2.17,3.13
