Date,FX,FFX,INTEREST,US_INTEREST
2004-07-26,1.3311,1.33233,2.05,1.66188
2004-07-27,1.337,1.33345,2.08,1.67
2004-07-28,1.3313,1.33003,2.08,1.68
2004-07-29,1.3252,1.32645,2.08,1.69375
2004-07-30,1.329,1.33238,2.08,1.7
2004-08-02,1.3325,1.33322,2.08,1.69
2004-08-03,1.3192,1.31818,2.06,1.7
2004-08-04,1.31335,1.31685,2.06,1.7
2004-08-05,1.31915,1.31934,2.06,1.71
2004-08-06,1.3089,1.3131,2.01,1.71
2004-08-09,1.31705,1.31892,2.02,1.67
2004-08-10,1.3132,1.32153,2.05,1.68
2004-08-11,1.3256,1.32531,2.05,1.71
2004-08-12,1.3308,1.3318,2.04,1.71125
2004-08-13,1.3132,1.30907,2.05,1.72
2004-08-16,1.3071,1.30712,2.07,1.72
2004-08-17,1.3081,1.30734,2.06,1.73
2004-08-18,1.309,1.30521,2.05,1.73
2004-08-19,1.29605,1.29728,2.06,1.74
2004-08-20,1.29645,1.29831,2.06,1.74
2004-08-23,1.3047,1.30801,2.07,1.75
2004-08-24,1.30385,1.3075,2.14,1.76
2004-08-25,1.30385,1.30534,2.14,1.77
2004-08-26,1.31085,1.30833,2.16,1.78125
2004-08-27,1.31065,1.31282,2.15,1.79
2004-08-30,1.3174,1.31754,2.19,1.79
2004-08-31,1.3176,1.31306,2.18,1.8
2004-09-01,1.3074,1.3078,2.2,1.8
2004-09-02,1.29855,1.30049,2.23,1.81
2004-09-03,1.3021,1.30065,2.28,1.82
2004-09-06,1.2986,1.29875,2.28,1.85
2004-09-07,1.2867,1.28862,2.32,1.86
2004-09-08,1.2911,1.29087,2.32,1.8625
2004-09-09,1.28805,1.28773,2.33,1.87
2004-09-10,1.28595,1.29172,2.33,1.87438
2004-09-13,1.30075,1.30212,2.35,1.88
2004-09-14,1.2932,1.2944,2.35,1.88
2004-09-15,1.3021,1.29731,2.36,1.88813
2004-09-16,1.29195,1.29063,2.36,1.91
2004-09-17,1.3052,1.29832,2.36,1.91
2004-09-20,1.3001,1.29427,2.37,1.91875
2004-09-21,1.2902,1.28724,2.42,1.93
2004-09-22,1.28345,1.28323,2.41,1.94125
2004-09-23,1.27785,1.28031,2.43,1.95
2004-09-24,1.2755,1.27409,2.43,1.96
2004-09-27,1.27285,1.27229,2.43,1.97
2004-09-28,1.2753,1.27259,2.43,1.975
2004-09-29,1.2708,1.27068,2.44,2.00563
2004-09-30,1.26555,1.26263,2.45,2.02
