item_id,mase,smape,mse,mae
austria,5.536769027615164,0.020010306764555466,0.07181946591335872,0.2511530558268229
uk,2.402858210329586,0.009054242873486107,7.55840354903133e-05,0.007111636797587076
belgium,4.948008371772483,0.017865403049566707,0.49960077526144836,0.6579818725585938
taiwan,7.493109713390712,0.012579355014596021,0.20862039896880258,0.3975308100382487
germany,4.9450173044919765,0.017853529664584963,0.0011704029110068367,0.031884666283925375
italy,62.02455207644629,0.24988934037194438,157901.78523009122,395.8927001953125
switzerland,2.7558639438426202,0.01354586010740714,0.0002828645823206225,0.012034505605697632
sweden,4.321993512535254,0.017846534425747334,0.05908836474315346,0.18614041010538737
france,3.6145752333821037,0.01301498278810132,0.007380152337630837,0.07815523147583008
finland,5.34553419726456,0.01932089339304137,0.013094314435807063,0.10477105776468913
japan,8.590777687595422,0.027132482987878244,19.292095664640268,4.027341715494791
norway,3.3916937102102658,0.01360089476500864,0.03447978833931605,0.1445384979248047
canada,1.9045054173171942,0.006802546579032574,0.00010666137326135565,0.009178884824117025
australia,1.6282850982235195,0.007411670164406288,0.0001742279238579651,0.011286278565724691
denmark,2.8936616343363557,0.01038535165917001,0.006962028104885576,0.07098921140034993
south_korea,48.11868355136182,0.18925983422042505,53568.92855252971,230.72197672526042
spain,5.906382421534215,0.02135704566333266,11.352829613978974,3.2395543416341144
average,10.342486535979383,0.039231192617193184,12441.309503701676,37.40260759393374
