item_id,mase,smape,mse,mae
austria,2.6102045684615787,0.009381202596647742,0.02228972254100275,0.11840133666992188
uk,2.873484659336997,0.010844167703026344,0.00012071916721675771,0.00850452979405721
belgium,2.633679574802283,0.009468322185475508,0.20208738954825095,0.3502244313557943
taiwan,8.42558235583047,0.014115105682028912,0.25471584750897214,0.4470011393229167
germany,2.670292668015164,0.009602217369988739,0.0004887769270567333,0.017217612266540526
italy,2.3684298848108973,0.008486860516632964,327.15918664187194,15.117305501302083
switzerland,4.286901439761755,0.021063593484701177,0.00041983486882640384,0.018720350662867227
sweden,6.628654830153292,0.02736151225268217,0.09697351732993412,0.28548412322998046
france,3.0384465342345863,0.010940881055478652,0.007179052982739146,0.06569803555806478
finland,2.831223114587862,0.010174728316097751,0.004607427148494025,0.05549122492472331
japan,6.625848733543327,0.02087885238518933,15.09636391052821,3.1061864217122395
norway,5.166443080784292,0.02079388325907346,0.0692240721002842,0.2201702117919922
canada,3.93577328100823,0.014129309848651631,0.0004807933310161161,0.018968709309895835
australia,3.7517571092807938,0.017190005292350142,0.0009060106748824144,0.026004890600840252
denmark,2.9597734275119167,0.01062664785449677,0.008513277600726118,0.0726111094156901
south_korea,4.074011998512758,0.014683629442258206,537.0608040352662,19.534285481770834
spain,2.6496370595874987,0.009518456797353449,3.147982566912348,1.4532826741536458
average,3.972361430601394,0.01407408094365488,51.94896138801813,2.4067975166965936
